student_num,level,participation,midterm,pe,final,total,faculty,is_afast
A0001243E,50,4,34,,,35.80,FOS,yes
A0000182A,50,3,45,15,48,63.70,SOC,nil
A0001774M,51,3,42,19,62,70.70,BIZ,nil
A0002037B,50,3.5,39,25.5,68,76.25,SOC,no
A0000542A,53,3.5,31.5,23.5,77.5,77.55,SOC,no
A0000849J,50,3.5,52.5,29.5,69.5,81.55,FOS,no
A0000798A,51,3.5,57,24,78.5,83.30,SOC,no
A0000414H,55,3.5,66,18,77,81.50,FOS,nil
A0001214J,53,3.5,49,24,74.5,80.10,FOS,nil
A0001934R,48,3,42,10,23.5,49.80,FOS,no
A0000022R,55,3.5,38,26,66,75.50,FOS,nil
A0001001W,55,3.5,54,25,84,85.40,FOS,no
A0001076X,47,2.5,49,17,65.5,70.50,BIZ,no
A0002031M,50,3,12,6,32,46.20,SOC,nil
A0000488L,50,3,45,25.5,61.5,74.35,FOS,no
A0000889B,52,4,43.5,18,66,73.10,FOS,no
A0001406A,53,5,43.5,24,72,79.50,SOC,no
A0001457R,49,2.5,42,21,43.5,63.30,FOS,nil
A0000868H,50,3,37,14,58,65.60,FOS,nil
A0000275X,50,4.5,41.5,11.5,29.5,55.35,FOS,yes
A0000109E,53,3.5,48,15,69,73.20,SOC,no
A0002172B,26,1.5,15,8,33,34.70,FOS,nil
A0000578L,10,0,9,1,25,17.30,FOS,nil
A0001503H,54,3.5,39,18.5,75,75.55,FOS,no
A0001626W,51,3.5,40,18.5,61,70.15,SOC,no
A0000220R,50,3.5,45,7,46,59.40,SOC,yes
A0000372B,39,2,29,7,48,50.00,FOS,nil
A0001254B,54,4,57,26,84,87.00,FOS,nil
A0000852W,53,4,46,20,73,77.40,SOC,no
A0002082B,45,3.5,27,7,15,40.90,,yes
A0002210N,41,3.5,25.5,13,30,47.60,FOS,no
A0001031N,53,3.5,69,28,89,91.90,SOC,nil
A0000726W,53,3.5,51,26,66.5,78.30,SOC,nil
A0000918N,50,3,42,21,55.5,69.10,SOC,no
A0001236B,50,3.5,58,21.5,62,75.65,FOS,no
A0002127B,50,3.5,21,5,41,51.60,FOS,nil
A0000528W,50,3,33,21,50,65.10,SOC,no
A0002077U,52,3,44,16,62,69.60,FOS,nil
A0002171A,48,3.5,51,20.5,50,67.95,FOS,no
A0000646U,44,3.5,10,6,23,39.70,FOS,nil
A0001441E,53,3.5,20,10,42,54.30,FOS,nil
A0000311N,54,3,49.5,29.5,92.5,89.65,FOS,no
A0001384U,50,3,43,26,46,68.00,FOS,nil
A0000743X,48,3.5,17,12,47,55.70,FOS,nil
A0001549M,52,1.5,73,27,89,90.20,FOS,no
A0000342H,54,3.5,50,26,73,80.70,BIZ,nil
A0001232J,53,3,74,29,86,91.70,FOS,nil
A0000540H,48,3,57,17,67,73.70,FOS,nil
A0001789B,45,2,28,5.5,29.5,44.65,FOS,no
A0000685M,49,3.5,35,10,46,58.40,FOS,nil
A0000781U,47,2.5,43,9,55,61.10,SOC,nil
A0001373X,52,3.5,69,27,76,86.20,FOS,nil
A0000188R,42,3,28,3,33,44.30,FOE,nil
A0000861W,50,3,14.5,16,33.5,52.30,FOS,yes
A0000141M,48,3,14,7,35,47.30,FOS,nil
A0001348U,52,5,34,12,36.5,57.40,BIZ,no
A0000331L,50,3,43,6.5,28,51.05,FOS,yes
A0002158U,49,3.5,14,5,29,44.90,FOS,nil
A0000023N,55,4,49,30,85.5,88.00,FOS,no
A0000461A,53,3.5,54,25,76,82.20,FOS,nil
A0000279N,52,3,40.5,17.5,56,67.25,SOC,no
A0001481X,51,3.5,34.5,15,50.5,63.10,FOS,no
A0000003U,43,3,21,15,58,59.40,,nil
A0001119B,50,3,33,16.5,58.5,66.25,SOC,no
A0001116H,51,2.5,41,9,59,63.80,BIZ,nil
